id,y
M1_D00000_00_00,0
M1_D00000_00_30,0
M1_D00000_01_00,0
M1_D00000_01_30,0
M1_D00000_02_00,0
M1_D00000_02_30,0
M1_D00000_03_00,0
M1_D00000_03_30,0
M1_D00000_04_00,0
M1_D00000_04_30,0
M1_D00000_05_00,0
M1_D00000_05_30,0
M1_D00000_06_00,0
M1_D00000_06_30,0
M1_D00000_07_00,0
M1_D00000_07_30,0
M1_D00000_08_00,0
M1_D00000_08_30,0
M1_D00000_09_00,0
M1_D00000_09_30,0
M1_D00000_10_00,0
M1_D00000_10_30,0
M1_D00000_11_00,0
M1_D00000_11_30,0
M1_D00000_12_00,0
M1_D00000_12_30,0
M1_D00000_13_00,0
M1_D00000_13_30,0
M1_D00000_14_00,0
M1_D00000_14_30,0
M1_D00000_15_00,0
M1_D00000_15_30,0
M1_D00000_16_00,0
M1_D00000_16_30,0
M1_D00000_17_00,0
M1_D00000_17_30,0
M1_D00000_18_00,0
M1_D00000_18_30,0
M1_D00000_19_00,0
M1_D00000_19_30,0
M1_D00000_20_00,0
M1_D00000_20_30,0
M1_D00000_21_00,0
M1_D00000_21_30,0
M1_D00000_22_00,0
M1_D00000_22_30,0
M1_D00000_23_00,0
M1_D00000_23_30,0
M1_D00005_00_00,0
M1_D00005_00_30,0
M1_D00005_01_00,0
M1_D00005_01_30,0
M1_D00005_02_00,0
M1_D00005_02_30,0
M1_D00005_03_00,0
M1_D00005_03_30,0
M1_D00005_04_00,0
M1_D00005_04_30,0
M1_D00005_05_00,0
M1_D00005_05_30,0
M1_D00005_06_00,0
M1_D00005_06_30,0
M1_D00005_07_00,0
M1_D00005_07_30,0
M1_D00005_08_00,0
M1_D00005_08_30,0
M1_D00005_09_00,0
M1_D00005_09_30,0
M1_D00005_10_00,0
M1_D00005_10_30,0
M1_D00005_11_00,0
M1_D00005_11_30,0
M1_D00005_12_00,0
M1_D00005_12_30,0
M1_D00005_13_00,0
M1_D00005_13_30,0
M1_D00005_14_00,0
M1_D00005_14_30,0
M1_D00005_15_00,0
M1_D00005_15_30,0
M1_D00005_16_00,0
M1_D00005_16_30,0
M1_D00005_17_00,0
M1_D00005_17_30,0
M1_D00005_18_00,0
M1_D00005_18_30,0
M1_D00005_19_00,0
M1_D00005_19_30,0
M1_D00005_20_00,0
M1_D00005_20_30,0
M1_D00005_21_00,0
M1_D00005_21_30,0
M1_D00005_22_00,0
M1_D00005_22_30,0
M1_D00005_23_00,0
M1_D00005_23_30,0
M1_D00020_00_00,0
M1_D00020_00_30,0
M1_D00020_01_00,0
M1_D00020_01_30,0
M1_D00020_02_00,0
M1_D00020_02_30,0
M1_D00020_03_00,0
M1_D00020_03_30,0
M1_D00020_04_00,0
M1_D00020_04_30,0
M1_D00020_05_00,0
M1_D00020_05_30,0
M1_D00020_06_00,0
M1_D00020_06_30,0
M1_D00020_07_00,0
M1_D00020_07_30,0
M1_D00020_08_00,0
M1_D00020_08_30,0
M1_D00020_09_00,0
M1_D00020_09_30,0
M1_D00020_10_00,0
M1_D00020_10_30,0
M1_D00020_11_00,0
M1_D00020_11_30,0
M1_D00020_12_00,0
M1_D00020_12_30,0
M1_D00020_13_00,0
M1_D00020_13_30,0
M1_D00020_14_00,0
M1_D00020_14_30,0
M1_D00020_15_00,0
M1_D00020_15_30,0
M1_D00020_16_00,0
M1_D00020_16_30,0
M1_D00020_17_00,0
M1_D00020_17_30,0
M1_D00020_18_00,0
M1_D00020_18_30,0
M1_D00020_19_00,0
M1_D00020_19_30,0
M1_D00020_20_00,0
M1_D00020_20_30,0
M1_D00020_21_00,0
M1_D00020_21_30,0
M1_D00020_22_00,0
M1_D00020_22_30,0
M1_D00020_23_00,0
M1_D00020_23_30,0
M1_D00026_00_00,0
M1_D00026_00_30,0
M1_D00026_01_00,0
M1_D00026_01_30,0
M1_D00026_02_00,0
M1_D00026_02_30,0
M1_D00026_03_00,0
M1_D00026_03_30,0
M1_D00026_04_00,0
M1_D00026_04_30,0
M1_D00026_05_00,0
M1_D00026_05_30,0
M1_D00026_06_00,0
M1_D00026_06_30,0
M1_D00026_07_00,0
M1_D00026_07_30,0
M1_D00026_08_00,0
M1_D00026_08_30,0
M1_D00026_09_00,0
M1_D00026_09_30,0
M1_D00026_10_00,0
M1_D00026_10_30,0
M1_D00026_11_00,0
M1_D00026_11_30,0
M1_D00026_12_00,0
M1_D00026_12_30,0
M1_D00026_13_00,0
M1_D00026_13_30,0
M1_D00026_14_00,0
M1_D00026_14_30,0
M1_D00026_15_00,0
M1_D00026_15_30,0
M1_D00026_16_00,0
M1_D00026_16_30,0
M1_D00026_17_00,0
M1_D00026_17_30,0
M1_D00026_18_00,0
M1_D00026_18_30,0
M1_D00026_19_00,0
M1_D00026_19_30,0
M1_D00026_20_00,0
M1_D00026_20_30,0
M1_D00026_21_00,0
M1_D00026_21_30,0
M1_D00026_22_00,0
M1_D00026_22_30,0
M1_D00026_23_00,0
M1_D00026_23_30,0
M1_D00034_00_00,0
M1_D00034_00_30,0
M1_D00034_01_00,0
M1_D00034_01_30,0
M1_D00034_02_00,0
M1_D00034_02_30,0
M1_D00034_03_00,0
M1_D00034_03_30,0
M1_D00034_04_00,0
M1_D00034_04_30,0
M1_D00034_05_00,0
M1_D00034_05_30,0
M1_D00034_06_00,0
M1_D00034_06_30,0
M1_D00034_07_00,0
M1_D00034_07_30,0
M1_D00034_08_00,0
M1_D00034_08_30,0
M1_D00034_09_00,0
M1_D00034_09_30,0
M1_D00034_10_00,0
