id,y
M1_D00002_00_00,0
M1_D00002_00_30,0
M1_D00002_01_00,0
M1_D00002_01_30,0
M1_D00002_02_00,0
M1_D00002_02_30,0
M1_D00002_03_00,0
M1_D00002_03_30,0
M1_D00002_04_00,0
M1_D00002_04_30,0
M1_D00002_05_00,0
M1_D00002_05_30,0
M1_D00002_06_00,0
M1_D00002_06_30,0
M1_D00002_07_00,0
M1_D00002_07_30,0
M1_D00002_08_00,0
M1_D00002_08_30,0
M1_D00002_09_00,0
M1_D00002_09_30,0
M1_D00002_10_00,0
M1_D00002_10_30,0
M1_D00002_11_00,0
M1_D00002_11_30,0
M1_D00002_12_00,0
M1_D00002_12_30,0
M1_D00002_13_00,0
M1_D00002_13_30,0
M1_D00002_14_00,0
M1_D00002_14_30,0
M1_D00002_15_00,0
M1_D00002_15_30,0
M1_D00002_16_00,0
M1_D00002_16_30,0
M1_D00002_17_00,0
M1_D00002_17_30,0
M1_D00002_18_00,0
M1_D00002_18_30,0
M1_D00002_19_00,0
M1_D00002_19_30,0
M1_D00002_20_00,0
M1_D00002_20_30,0
M1_D00002_21_00,0
M1_D00002_21_30,0
M1_D00002_22_00,0
M1_D00002_22_30,0
M1_D00002_23_00,0
M1_D00002_23_30,0
M1_D00009_00_00,0
M1_D00009_00_30,0
M1_D00009_01_00,0
M1_D00009_01_30,0
M1_D00009_02_00,0
M1_D00009_02_30,0
M1_D00009_03_00,0
M1_D00009_03_30,0
M1_D00009_04_00,0
M1_D00009_04_30,0
M1_D00009_05_00,0
M1_D00009_05_30,0
M1_D00009_06_00,0
M1_D00009_06_30,0
M1_D00009_07_00,0
M1_D00009_07_30,0
M1_D00009_08_00,0
M1_D00009_08_30,0
M1_D00009_09_00,0
M1_D00009_09_30,0
M1_D00009_10_00,0
M1_D00009_10_30,0
M1_D00009_11_00,0
M1_D00009_11_30,0
M1_D00009_12_00,0
M1_D00009_12_30,0
M1_D00009_13_00,0
M1_D00009_13_30,0
M1_D00009_14_00,0
M1_D00009_14_30,0
M1_D00009_15_00,0
M1_D00009_15_30,0
M1_D00009_16_00,0
M1_D00009_16_30,0
M1_D00009_17_00,0
M1_D00009_17_30,0
M1_D00009_18_00,0
M1_D00009_18_30,0
M1_D00009_19_00,0
M1_D00009_19_30,0
M1_D00009_20_00,0
M1_D00009_20_30,0
M1_D00009_21_00,0
M1_D00009_21_30,0
M1_D00009_22_00,0
M1_D00009_22_30,0
M1_D00009_23_00,0
M1_D00009_23_30,0
M1_D00013_00_00,0
M1_D00013_00_30,0
M1_D00013_01_00,0
M1_D00013_01_30,0
M1_D00013_02_00,0
M1_D00013_02_30,0
M1_D00013_03_00,0
M1_D00013_03_30,0
M1_D00013_04_00,0
M1_D00013_04_30,0
M1_D00013_05_00,0
M1_D00013_05_30,0
M1_D00013_06_00,0
M1_D00013_06_30,0
M1_D00013_07_00,0
M1_D00013_07_30,0
M1_D00013_08_00,0
M1_D00013_08_30,0
M1_D00013_09_00,0
M1_D00013_09_30,0
M1_D00013_10_00,0
M1_D00013_10_30,0
M1_D00013_11_00,0
M1_D00013_11_30,0
M1_D00013_12_00,0
M1_D00013_12_30,0
M1_D00013_13_00,0
M1_D00013_13_30,0
M1_D00013_14_00,0
M1_D00013_14_30,0
M1_D00013_15_00,0
M1_D00013_15_30,0
M1_D00013_16_00,0
M1_D00013_16_30,0
M1_D00013_17_00,0
M1_D00013_17_30,0
M1_D00013_18_00,0
M1_D00013_18_30,0
M1_D00013_19_00,0
M1_D00013_19_30,0
